year,title,location,date,description
1929,The 1st Academy Awards |1929,Blossom Room of the Hollywood Roosevelt Hotel,"Thursday, May 16, 1929","Honoring movies released from August 1, 1927 - August 1, 1928."
1930,The 2nd Academy Awards |1930,Cocoanut Grove of the Ambassador Hotel,"Thursday, April 3, 1930","Honoring movies released from August 1, 1928 - July 31, 1929."
1931,The 3rd Academy Awards |1931,Fiesta Room of the Ambassador Hotel,"Wednesday, November 5, 1930","honoring movies released from August 1, 1929  July 31, 1930."
1932,The 4th Academy Awards |1932,Sala D'Oro in the Biltmore Hotel,"Tuesday, November 10, 1931","Honoring movies released from August 1, 1930 - July 31, 1931."
1933,The 5th Academy Awards |1933,Fiesta Room of the Ambassador Hotel,"Friday, November 18, 1932","Honoring movies released from August 1, 1931 - July 31, 1932."
1934,The 6th Academy Awards |1934,Fiesta Room of the Ambassador Hotel,"Friday, March 16, 1934","Honoring movies released from August 1, 1932 - December 31, 1933."
1935,The 7th Academy Awards |1935,Biltmore Bowl of the Biltmore Hotel,"Wednesday, February 27, 1935",Honoring movies released in 1934
1936,The 8th Academy Awards |1936,Biltmore Bowl of the Biltmore Hotel,"Thursday, March 5, 1936",Honoring movies released in 1935
1937,The 9th Academy Awards |1937,Biltmore Bowl of the Biltmore Hotel,"Thursday, March 4, 1937",Honoring movies released in 1936
1938,The 10th Academy Awards |1938,Biltmore Bowl of the Biltmore Hotel,"Thursday, March 10, 1938",Honoring movies released in 1937
1939,The 11th Academy Awards |1939,Biltmore Bowl of the Biltmore Hotel,"Thursday, February 23, 1939",Honoring movies released in 1938
1940,The 12th Academy Awards |1940,Coconut Grove of the Ambassador Hotel,"Thursday, February 29, 1940",Honoring movies released in 1939
1941,The 13th Academy Awards |1941,Biltmore Bowl of the Biltmore Hotel,"Thursday, February 27, 1941",Honoring movies released in 1940
1942,The 14th Academy Awards |1942,Biltmore Bowl of the Biltmore Hotel,"Thursday, February 26, 1942",Honoring movies released in 1941
1943,The 15th Academy Awards |1943,Cocoanut Grove of the Ambassador Hotel,"Thursday, March 4, 1943",Honoring movies released in 1942
1944,The 16th Academy Awards |1944,Grauman's Chinese Theatre,"Thursday, March 2, 1944",Honoring movies released in 1943
1945,The 17th Academy Awards |1945,Grauman's Chinese Theatre,"Thursday, March 15, 1945",Honoring movies released in 1944
1946,The 18th Academy Awards |1946,Grauman's Chinese Theatre,"Thursday, March 7, 1946",Honoring movies released in 1945
1947,The 19th Academy Awards |1947,Shrine Civic Auditorium,"Thursday, March 13, 1947",Honoring movies released in 1946
1948,The 20th Academy Awards |1948,Shrine Civic Auditorium,"Saturday, March 20, 1948",Honoring movies released in 1947
