year_film,year_ceremony,ceremony,category,name,film,winner,year_film_film,imdbID,imdbLink
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,FALSE,1927The Noose,tt0019217,https://www.imdb.com/title/tt0019217/
1927,1928,1,ACTOR,Emil Jannings,The Last Command,TRUE,1927The Last Command,tt0019071,https://www.imdb.com/title/tt0019071/
1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,FALSE,1927A Ship Comes In,tt0018389,https://www.imdb.com/title/tt0018389/
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,TRUE,19277th Heaven,tt0018379,https://www.imdb.com/title/tt0018379/
1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,FALSE,1927Sadie Thompson,tt0019344,https://www.imdb.com/title/tt0019344/
1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,FALSE,1927Sunrise,tt0018455,https://www.imdb.com/title/tt0018455/
1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,TRUE,1927The Dove;,tt0017822,https://www.imdb.com/title/tt0017822/
1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,FALSE,19277th Heaven,tt0018379,https://www.imdb.com/title/tt0018379/
1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,FALSE,1927The Devil Dancer;,tt0017806,https://www.imdb.com/title/tt0017806/
1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,TRUE,1927Sunrise,tt0018455,https://www.imdb.com/title/tt0018455/
1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,TRUE,1927Sunrise,tt0018455,https://www.imdb.com/title/tt0018455/
1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,TRUE,1927Two Arabian Knights,tt0018515,https://www.imdb.com/title/tt0018515/
1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,FALSE,1927Speedy,tt0018435,https://www.imdb.com/title/tt0018435/
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,TRUE,19277th Heaven,tt0018379,https://www.imdb.com/title/tt0018379/
1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,FALSE,1927Sorrell and Son,tt0018429,https://www.imdb.com/title/tt0018429/
1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,FALSE,1927The Crowd,tt0018806,https://www.imdb.com/title/tt0018806/
1927,1928,1,ENGINEERING EFFECTS,Ralph Hammeras,,FALSE,1927,,
1927,1928,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,TRUE,1927Wings,tt0018578,https://www.imdb.com/title/tt0018578/
1927,1928,1,ENGINEERING EFFECTS,Nugent Slaughter,,FALSE,1927,,
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,FALSE,1927The Racket,tt0019304,https://www.imdb.com/title/tt0019304/
1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,FALSE,19277th Heaven,tt0018379,https://www.imdb.com/title/tt0018379/
1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,TRUE,1927Wings,tt0018578,https://www.imdb.com/title/tt0018578/
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,TRUE,1927Sunrise,tt0018455,https://www.imdb.com/title/tt0018455/
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,FALSE,1927The Crowd,tt0018806,https://www.imdb.com/title/tt0018806/
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,FALSE,1927Chang,tt0017743,https://www.imdb.com/title/tt0017743/
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,FALSE,1927The Jazz Singer,tt0018037,https://www.imdb.com/title/tt0018037/
1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,FALSE,1927Glorious Betsy,tt0018945,https://www.imdb.com/title/tt0018945/
1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,TRUE,19277th Heaven,tt0018379,https://www.imdb.com/title/tt0018379/
1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,FALSE,1927The Last Command,tt0019071,https://www.imdb.com/title/tt0019071/
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,TRUE,1927Underworld,tt0018526,https://www.imdb.com/title/tt0018526/
1927,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,FALSE,1927The Private Life of Helen of Troy,tt0017979,https://www.imdb.com/title/tt0017979/
1927,1928,1,WRITING (Title Writing),Joseph Farnham,,TRUE,1927,,
1927,1928,1,WRITING (Title Writing),"George Marion, Jr.",,FALSE,1927,,
1927,1928,1,SPECIAL AWARD,Warner Bros.,,TRUE,1927,,
1927,1928,1,SPECIAL AWARD,Charles Chaplin,,TRUE,1927,,
1928,1929,2,ACTOR,George Bancroft,Thunderbolt,FALSE,1928Thunderbolt,tt0020499,https://www.imdb.com/title/tt0020499/
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,TRUE,1928In Old Arizona,tt0020018,https://www.imdb.com/title/tt0020018/
1928,1929,2,ACTOR,Chester Morris,Alibi,FALSE,1928Alibi,tt0019031,https://www.imdb.com/title/tt0019031/
1928,1929,2,ACTOR,Paul Muni,The Valiant,FALSE,1928The Valiant,tt0020543,https://www.imdb.com/title/tt0020543/
1928,1929,2,ACTOR,Lewis Stone,The Patriot,FALSE,1928The Patriot,tt0019257,https://www.imdb.com/title/tt0019257/
1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,FALSE,1928Madame X,tt0020126,https://www.imdb.com/title/tt0020126/
1928,1929,2,ACTRESS,Betty Compson,The Barker,FALSE,1928The Barker,tt0018674,https://www.imdb.com/title/tt0018674/
1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,FALSE,1928The Letter,tt0020092,https://www.imdb.com/title/tt0020092/
1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,FALSE,1928The Divine Lady,tt0019824,https://www.imdb.com/title/tt0019824/
1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,FALSE,1928The Broadway Melody,tt0019729,https://www.imdb.com/title/tt0019729/
1928,1929,2,ACTRESS,Mary Pickford,Coquette,TRUE,1928Coquette,tt0019788,https://www.imdb.com/title/tt0019788/
1928,1929,2,ART DIRECTION,Hans Dreier,The Patriot,FALSE,1928The Patriot,tt0019257,https://www.imdb.com/title/tt0019257/
1928,1929,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,TRUE,1928The Bridge of San Luis Rey,tt0019722,https://www.imdb.com/title/tt0019722/
1928,1929,2,ART DIRECTION,Mitchell Leisen,Dynamite,FALSE,1928Dynamite,tt0019843,https://www.imdb.com/title/tt0019843/
1928,1929,2,ART DIRECTION,William Cameron Menzies,Alibi;,FALSE,1928Alibi;,tt0019630,https://www.imdb.com/title/tt0019630/
